fight_id,fighter_id,opening,closing_range_min,closing_range_max
ae6fb7829db7ecc7,06f36cf4bd97ec77,160,200,205
af178adff964d854,06f36cf4bd97ec77,160,155,155
b347480405118de5,06f36cf4bd97ec77,325,500,540
bdd782059be98dfb,06f36cf4bd97ec77,-145,-140,-140
c47cf097227cc6a0,06f36cf4bd97ec77,170,160,167
c5603628f7ae84d3,06f36cf4bd97ec77,-350,-200,-175
dcd0793ff1a43b68,06f36cf4bd97ec77,120,190,240
e9ed827818e8cadf,06f36cf4bd97ec77,145,155,165
f27e8d63f526d326,06f36cf4bd97ec77,185,200,230
f8ad660497e49187,06f36cf4bd97ec77,150,145,150
fff3218758c513b8,07047eb7d17fb0a2,175,190,225
01f7c28804746979,07225ba28ae309b6,-120,155,190
05e2832cd5ffb7a6,07225ba28ae309b6,125,210,215
0b5c7c95b0316276,07225ba28ae309b6,-300,-205,-200
164f56eb25d6a9b4,07225ba28ae309b6,130,144,145
18ba44e67d5c5f38,07225ba28ae309b6,-115,145,170
295c2e1ae2d54287,07225ba28ae309b6,120,-114,-114
307b12b9f08a4cbf,07225ba28ae309b6,220,-235,-235
4f4189009a190e35,07225ba28ae309b6,-198,-275,-240
51d3be5e8aee5cd9,07225ba28ae309b6,150,145,150
523815acf1bb2420,07225ba28ae309b6,250,140,185
56c7c59c9bb3b610,07225ba28ae309b6,250,175,180
5782666ca117fa5b,07225ba28ae309b6,-305,-420,-380
6453b20a65c62cfe,07225ba28ae309b6,200,400,470
77785292d4df807c,07225ba28ae309b6,-130,-150,-150
79865287be90e4be,07225ba28ae309b6,-125,-125,-105
7a4e5bcd7336d203,07225ba28ae309b6,-510,-560,-560
7a64d63e12618ba7,07225ba28ae309b6,220,295,330
7afe2a15ae7359e9,07225ba28ae309b6,-335,-400,-385
7d4e49d8a6678157,07225ba28ae309b6,-205,-165,-130
85036b967403cdab,07225ba28ae309b6,-145,-125,-120
91daeeeea0a83e49,07225ba28ae309b6,-245,-165,-165
a24121c70f773fe2,07225ba28ae309b6,-150,145,145
a4759c52378f9d1a,07225ba28ae309b6,-125,-200,-200
b22eab3aa1522f40,07225ba28ae309b6,145,110,120
b7b867eb3c3cf163,07225ba28ae309b6,110,130,161
b96e1222eb1a0faf,07225ba28ae309b6,-900,-800,-735
ba766bd03090dab9,07225ba28ae309b6,-320,-475,-470
c83487136636e9bf,07225ba28ae309b6,130,-135,-133
db1c5b5a710fbdb0,07225ba28ae309b6,-400,-240,-240
